Species_Name	Clade	Order	Family	Genus	Functional group	Mean body mength	Mean max body length	Myelination	Spawning mode	Trophic group	Feeding mode
Spinocalanus_polaris	Copepoda	Calanoida	Spinocalanidae	Spinocalanus	FG3	1.29857142857143	1.6	1	Free	Omnivore-Detritivore	Current-Cruise
Spinocalanus_terranovae	Copepoda	Calanoida	Spinocalanidae	Spinocalanus	FG3	1.8	2.2	1	Free	Omnivore-Detritivore	Current-Cruise
Spinocalanus_sp	Copepoda	Calanoida	Spinocalanidae	Spinocalanus	FG3	NA	NA	1	Free	Omnivore-Detritivore	Current-Cruise
Stephos_longipes	Copepoda	Calanoida	Stephidae	Stephos	NA	0.82	0.96	1	Free	NA	NA
Subeucalanus_crassus	Copepoda	Calanoida	Subeucalanidae	Subeucalanus	FG7	3.25173913043478	4.6	1	Free	Omnivore-Herbivore	Current
Subeucalanus_longiceps	Copepoda	Calanoida	Subeucalanidae	Subeucalanus	FG7	4.53333333333333	5.1	1	Free	Omnivore-Herbivore	Current
Subeucalanus_monachus	Copepoda	Calanoida	Subeucalanidae	Subeucalanus	FG7	2.31041666666667	2.84	1	Free	Omnivore-Herbivore	Current
Subeucalanus_mucronatus	Copepoda	Calanoida	Subeucalanidae	Subeucalanus	FG7	3.14785714285714	3.49	1	Free	Omnivore-Herbivore	Current
Subeucalanus_pileatus	Copepoda	Calanoida	Subeucalanidae	Subeucalanus	FG7	2.10571428571429	2.5	1	Free	Omnivore-Herbivore	Current
Subeucalanus_subcrassus	Copepoda	Calanoida	Subeucalanidae	Subeucalanus	FG7	2.36724324324324	2.92	1	Free	Omnivore-Herbivore	Current
Subeucalanus_subtenuis	Copepoda	Calanoida	Subeucalanidae	Subeucalanus	FG7	2.8609375	3.7	1	Free	Omnivore-Herbivore	Current
Subeucalanus_sp	Copepoda	Calanoida	Subeucalanidae	Subeucalanus	FG7	NA	NA	1	Free	Omnivore-Herbivore	Current
Temora_discaudata	Copepoda	Calanoida	Temoridae	Temora	FG7	2.10571428571429	2.5	0	Free	Omnivore-Herbivore	Current
Temora_longicornis	Copepoda	Calanoida	Temoridae	Temora	FG9	2.36724324324324	2.92	0	Free	Omnivore	Current
Temora_stylifera	Copepoda	Calanoida	Temoridae	Temora	FG9	2.8609375	3.7	0	Free	Omnivore	Current
Temora_turbinata	Copepoda	Calanoida	Temoridae	Temora	FG7	2.10571428571429	2.5	0	Free	Omnivore-Herbivore	Current
Temora_sp	Copepoda	Calanoida	Temoridae	Temora	NA	NA	NA	0	Free	Omnivore-Herbivore	Current
Temorites_brevis	Copepoda	Calanoida	Bathypontiidae	Temorites	NA	2.36724324324324	2.92	1	Free	NA	NA
Temoropia_mayumbaensis	Copepoda	Calanoida	Fosshageniidae	Temoropia	NA	2.8609375	3.7	1	Free	NA	NA
Tortanus_discaudatus	Copepoda	Calanoida	Tortanidae	Tortanus	FG3	2.156875	3.1	0	Free	Omnivore-Carnivore	Cruise
Triconia_antarctica	Copepoda	Cyclopoida	Oncaeidae	Triconia	FG2	1.22	1.4	0	Sac	Omnivore-Detritivore	Cruise
Triconia_borealis	Copepoda	Cyclopoida	Oncaeidae	Triconia	FG2	0.680076923076923	0.8	0	Sac	Omnivore-Detritivore	Cruise
Triconia_conifera	Copepoda	Cyclopoida	Oncaeidae	Triconia	FG2	1.12	1.5	0	Sac	Omnivore-Detritivore	Cruise
Triconia_dentipes	Copepoda	Cyclopoida	Oncaeidae	Triconia	FG2	0.497	0.57	0	Sac	Omnivore-Detritivore	Cruise
Triconia_minuta	Copepoda	Cyclopoida	Oncaeidae	Triconia	FG2	0.5317	0.76	0	Sac	Omnivore-Detritivore	Cruise
Triconia_similis	Copepoda	Cyclopoida	Oncaeidae	Triconia	FG2	0.727857142857143	0.9	0	Sac	Omnivore-Detritivore	Cruise
Triconia_sp	Copepoda	Cyclopoida	Oncaeidae	Triconia	FG2	NA	NA	0	Sac	Omnivore-Detritivore	Cruise
Undeuchaeta_major	Copepoda	Calanoida	Aetideidae	Undeuchaeta	FG5	4.92161290322581	6.5	1	Sac	Omnivore-Carnivore	Current
Undeuchaeta_plumosa	Copepoda	Calanoida	Aetideidae	Undeuchaeta	FG5	3.75621621621622	4.65	1	Sac	Omnivore-Carnivore	Current
Undinella_oblonga	Copepoda	Calanoida	Tharybidae	Undinella	NA	2.79833333333333	3	1	NA	NA	NA
Undinula_vulgaris	Copepoda	Calanoida	Calanidae	Undinula	FG9	2.63316666666667	3.25	1	Free	Omnivore	Current
Urocorycaeus_furcifer	Copepoda	Cyclopoida	Corycaeidae	Urocorycaeus	FG4	1.82708333333333	2.1	0	Sac	Carnivore	Ambush
Urocorycaeus_lautus	Copepoda	Cyclopoida	Corycaeidae	Urocorycaeus	FG4	2.76072222222222	3.05	0	Sac	Carnivore	Ambush
Urocorycaeus_longistylis	Copepoda	Cyclopoida	Corycaeidae	Urocorycaeus	FG4	2.65957894736842	3.04	0	Sac	Carnivore	Ambush
Vettoria_granulosa	Copepoda	Cyclopoida	Sapphirinidae	Vettoria	FG4	0.72875	0.85	0	Sac	Carnivore	Ambush
Vettoria_parva	Copepoda	Cyclopoida	Sapphirinidae	Vettoria	FG4	0.88375	0.93	0	Sac	Carnivore	Ambush
