Species_Name	Clade	Order	Family	Genus	Functional group	Mean body mength	Mean max body length	Myelination	Spawning mode	Trophic group	Feeding mode
Oithona_pulla	Copepoda	Cyclopoida	Oithonidae	Oithona	NA	NA	NA	0	Sac	Omnivore	Ambush
Oithona_setigera	Copepoda	Cyclopoida	Oithonidae	Oithona	FG10	1.58282051282051	2.04	0	Sac	Omnivore	Ambush
Oithona_similis	Copepoda	Cyclopoida	Oithonidae	Oithona	FG10	0.825589285714286	1.2	0	Sac	Omnivore	Ambush
Oithona_simplex	Copepoda	Cyclopoida	Oithonidae	Oithona	FG10	0.4	0.46	0	Sac	Omnivore	Ambush
Oithona_tenuis	Copepoda	Cyclopoida	Oithonidae	Oithona	FG10	1.160625	1.37	0	Sac	Omnivore	Ambush
Oithona_sp	Copepoda	Cyclopoida	Oithonidae	Oithona	NA	NA	NA	0	Sac	Omnivore	Ambush
Oncaea_bathyalis	Copepoda	Cyclopoida	Oncaeidae	Oncaea	NA	NA	NA	0	Sac	Omnivore-Detritivore	Cruise
Oncaea_clevei	Copepoda	Cyclopoida	Oncaeidae	Oncaea	FG2	0.677894736842105	0.76	0	Sac	Omnivore-Detritivore	Cruise
Oncaea_curta	Copepoda	Cyclopoida	Oncaeidae	Oncaea	FG2	0.667142857142857	0.76	0	Sac	Omnivore-Detritivore	Cruise
Oncaea_curvata	Copepoda	Cyclopoida	Oncaeidae	Oncaea	FG2	0.686923076923077	0.8	0	Sac	Omnivore-Detritivore	Cruise
Oncaea_media	Copepoda	Cyclopoida	Oncaeidae	Oncaea	FG2	0.764411764705882	1.02	0	Sac	Omnivore-Detritivore	Cruise
Oncaea_mediterranea	Copepoda	Cyclopoida	Oncaeidae	Oncaea	FG2	1.19901960784314	1.6	0	Sac	Omnivore-Detritivore	Cruise
Oncaea_notopus	Copepoda	Cyclopoida	Oncaeidae	Oncaea	FG2	0.87	1.01	0	Sac	Omnivore-Detritivore	Cruise
Oncaea_ornata	Copepoda	Cyclopoida	Oncaeidae	Oncaea	FG2	0.875384615384615	1.07	0	Sac	Omnivore-Detritivore	Cruise
Oncaea_ovalis	Copepoda	Cyclopoida	Oncaeidae	Oncaea	FG2	0.464	0.54	0	Sac	Omnivore-Detritivore	Cruise
Oncaea_parila	Copepoda	Cyclopoida	Oncaeidae	Oncaea	FG2	0.678571428571429	0.76	0	Sac	Omnivore-Detritivore	Cruise
Oncaea_scottodicarloi	Copepoda	Cyclopoida	Oncaeidae	Oncaea	FG2	0.615875	0.78	0	Sac	Omnivore-Detritivore	Cruise
Oncaea_shmelevi	Copepoda	Cyclopoida	Oncaeidae	Oncaea	FG2	0.695	0.72	0	Sac	Omnivore-Detritivore	Cruise
Oncaea_venusta	Copepoda	Cyclopoida	Oncaeidae	Oncaea	FG2	1.16265573770492	1.7	0	Sac	Omnivore-Detritivore	Cruise
Oncaea_waldemari	Copepoda	Cyclopoida	Oncaeidae	Oncaea	FG2	0.505833333333333	0.58	0	Sac	Omnivore-Detritivore	Cruise
Oncaea_sp	Copepoda	Cyclopoida	Oncaeidae	Oncaea	NA	NA	NA	0	Sac	Omnivore-Detritivore	Cruise
Onychocorycaeus_agilis	Copepoda	Cyclopoida	Corycaeidae	Onychocorycaeus	FG4	0.979565217391304	1.4	0	Sac	Carnivore	Ambush
Onychocorycaeus_catus	Copepoda	Cyclopoida	Corycaeidae	Onychocorycaeus	FG4	0.989473684210526	1.18	0	Sac	Carnivore	Ambush
Onychocorycaeus_giesbrechti	Copepoda	Cyclopoida	Corycaeidae	Onychocorycaeus	FG4	1.05	1.3	0	Sac	Carnivore	Ambush
Onychocorycaeus_latus	Copepoda	Cyclopoida	Corycaeidae	Onychocorycaeus	FG4	1.01307692307692	1.18	0	Sac	Carnivore	Ambush
