Species_Name	Taxonomic Group	MFT (MIXOPLANKTON FUNCTIONAL CLASSIFICATION)	can form colonies	HABs	MIXOPLANKTON SIZE	Mode of feeding	ability to use NO3 
Heterocapsa_circularisquama	Dinoflagellata	CM	no	yes	nano	not_recorded	yes
Heterocapsa_rotundata	Dinoflagellata	CM	no	not recorded	nano	engulfment	yes
Heterocapsa_steinii	Dinoflagellata	CM	no	not recorded	micro	engulfment	yes
Heterosigma_akashiwo	Ochrophyta	CM	no	yes	micro	engulfment	yes
Heterostegina_antillarum	Foraminifera	eSNCM	no	not recorded	micro-meso	engulfment_after_immobilization	not_applicable
Hexacontium_gigantheum	Radiolaria	eSNCM	no	not recorded	micro	axopodia;engulfment	not_recorded
Hexacontium_pachydermum	Radiolaria	eSNCM	no	not recorded	micro	axopodia;engulfment	not_recorded
Hexalonche_amphisiphon	Radiolaria	eSNCM	no	not recorded	micro	axopodia;engulfment	not_recorded
Histioneis_biremis	Dinoflagellata	eSNCM	no	not recorded	micro	not_recorded	not_recorded
Histioneis_carinata	Dinoflagellata	eSNCM	no	not recorded	micro	not_recorded	not_recorded
Histioneis_cymbalaria	Dinoflagellata	eSNCM	no	not recorded	micro	not_recorded	not_recorded
Histioneis_depressa	Dinoflagellata	eSNCM	no	not recorded	micro	not_recorded	not_recorded
Histioneis_elongata	Dinoflagellata	eSNCM	no	not recorded	micro	not_recorded	not_recorded
Histioneis_gubernans	Dinoflagellata	eSNCM	no	not recorded	micro	not_recorded	not_recorded
Histioneis_highleyi	Dinoflagellata	eSNCM	no	not recorded	micro	not_recorded	not_recorded
Histioneis_hyalina	Dinoflagellata	eSNCM	no	not recorded	micro	not_recorded	not_recorded
Histioneis_inclinata	Dinoflagellata	eSNCM	no	not recorded	micro	not_recorded	not_recorded
Histioneis_joergensenii	Dinoflagellata	eSNCM	no	not recorded	micro	not_recorded	not_recorded
Histioneis_longicollis	Dinoflagellata	eSNCM	no	not recorded	micro	not_recorded	not_recorded
